Domain,Receive_Time,Serial_#,Type,Threat/Content_Type,Config_Version,Generate_Time,Source_address,Destination_address,NAT_Source_IP,NAT_Destination_IP,Rule,Source_User,Destination_User,Application,Virtual_System,Source_Zone,Destination_Zone,Inbound_Interface,Outbound_Interface,Log_Action,Time_Logged,Session_ID,Repeat_Count,Source_Port,Destination_Port,NAT_Source_Port,NAT_Destination_Port,Flags,IP_Protocol,Action,Bytes,Bytes_Sent,Bytes_Received,Packets,Start_Time,Elapsed_Time_(sec),Category,Padding,Sequence_Number,Action_Flags,Source_Country,Destination_Country,cpadding,pkts_sent,pkts_received,session_end_reason,dg_hier_level_1,dg_hier_level_2,dg_hier_level_3,dg_hier_level_4,Virtual_System_Name,Device_Name,action_source,Source_VM_UUID,Destination_VM_UUID,Tunnel_ID/IMSI,Monitor_Tag/IMEI,Parent_Session_ID,parent_start_time,tunnel
1,5/31/17 0:39,1606050200,TRAFFIC,end,1,5/31/17 0:39,192.168.4.52,192.168.4.1,,,rule1,,,insufficient-data,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,5/30/17 0:39,781,1,56222,5351,0,0,0x80004019,udp,allow,568,240,328,8,5/31/17 0:38,31,any,0,15231578,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,4,4,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:39,1606050200,TRAFFIC,end,1,5/31/17 0:39,192.168.4.55,87.109.246.232,,,rule1,,,dns,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,5/30/17 0:39,784,1,49586,53,0,0,0x4019,udp,allow,200,100,100,2,5/31/17 0:39,0,any,0,15231577,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:39,1606050200,TRAFFIC,end,1,5/31/17 0:39,192.168.4.55,105.27.205.34,,,rule1,,,dns,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,5/30/17 0:39,783,1,55175,53,0,0,0x4019,udp,block,200,100,100,2,5/31/17 0:39,0,any,0,15231576,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:39,1606050200,TRAFFIC,end,1,5/31/17 0:39,192.168.4.49,8.8.8.8,,,rule1,,,dns,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,5/31/17 0:39,782,1,56369,53,0,0,0x4019,udp,allow,198,99,99,2,5/31/17 0:39,0,any,0,15231575,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:39,1606050200,TRAFFIC,end,1,5/31/17 0:39,192.168.4.53,23.197.66.148,,,rule1,,,ssl,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,5/31/17 0:39,762,1,52201,443,0,0,0x4053,tcp,allow,45318,22482,22836,174,5/31/17 0:36,129,computer-and-internet-info,0,15231574,0x0,192.168.0.0-192.168.255.255,United States,0,104,70,tcp-rst-from-client,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:38,1606050200,TRAFFIC,end,1,5/31/17 0:38,192.168.4.55,184.84.244.104,,,rule1,,,web-browsing,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,5/31/17 0:38,716,1,52197,80,0,0,0x401c,tcp,allow,2752,1370,1382,32,5/31/17 0:36,116,computer-and-internet-info,0,15231573,0x0,192.168.0.0-192.168.255.255,United States,0,17,15,tcp-fin,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:38,1606050200,TRAFFIC,end,1,5/31/17 0:38,192.168.4.55,40.117.100.83,,,rule1,,,skype,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,5/31/17 0:38,160,1,52168,443,0,0,0x4053,tcp,allow,6968,2364,4604,18,5/31/17 0:35,120,computer-and-internet-info,0,15231572,0x0,192.168.0.0-192.168.255.255,United States,0,10,8,tcp-rst-from-server,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:37,1606050200,TRAFFIC,end,1,5/31/17 0:37,192.168.4.55,40.69.219.199,,,rule1,,,skype,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,5/31/17 0:37,52,1,52136,443,0,0,0x4053,tcp,allow,6682,1928,4754,17,5/31/17 0:35,120,internet-communications-and-telephony,0,15231571,0x0,192.168.0.0-192.168.255.255,Ireland,0,9,8,tcp-rst-from-server,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:37,1606050200,TRAFFIC,end,1,5/31/17 0:37,192.168.4.55,8.8.8.8,,,rule1,,,dns,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,5/31/17 0:37,778,1,56659,53,0,0,0x4019,udp,allow,190,87,103,2,5/31/17 0:36,0,any,0,15231570,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,5/31/17 0:37,1606050200,TRAFFIC,end,1,5/31/17 0:37,192.168.4.55,96.246.158.154,,,rule1,,,dns,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,5/31/17 0:37,776,1,63561,53,0,0,0x4019,udp,allow,170,77,93,2,5/31/17 0:36,0,any,0,15231569,0x0,192.168.0.0-192.168.255.255,United States,0,1,1,aged-out,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
